,title,text,time,image,country,3let
12, Υπεγράφη συμφωνία Ιταλίας - Λιβύης για συνεργασία στον αμυντικό τομέα ,"Συμφωνία στρατιωτικής συνεργασίας, τεχνικής φύσεως, υπέγραψαν στη Ρώμη οι υπουργοί Άμυνας της Ιταλίας και της Λιβύης. Η Ρώμη δίνει το μήνυμα ότι ενδιαφέρεται για την πρώην αποικία της.",2020-12-05 19:07:00,https://www.news247.gr/img/2410/9071735/366000/w140/140/italy.jpg,ιταλία,ITA
14, Τουρκία: Έκκληση των γιατρών για καθολικό lockdown- Σπάνε ρεκόρ τα κρούσματα ,"Οι Τούρκοι γιατροί πιστεύουν ότι η χώρα πρέπει να ""κλείσει"" για δύο εβδομάδες προκειμένου να καμφθεί το δεύτερο κύμα της πανδημίας του κορονοϊού. ",2020-12-05 19:00:00,https://www.news247.gr/img/8130/9058370/656000/w140/140/turkk.jpg,τουρκία,TUR
6, Google: Καλείται να δώσει εξηγήσεις για την απόλυση μιας μαύρης ερευνήτριας ,"Η ερευνήτρια υποστηρίζει ότι οι ανώτεροί της έκαναν δεκτή την παραίτηση που δεν υπέβαλε ποτέ. Είχε προηγηθεί διαμαρτυρία της περί ""φίμωσης των περιθωριοποιημένων φωνών"". ",2020-12-05 18:31:00,https://www.news247.gr/img/2791/9071703/537000/w140/140/google051220.jpg,ελλάδα,GRC
7, Χάος στο Παρίσι: Δακρυγόνα και συμπλοκές μεταξύ διαδηλωτών και αστυνομίας ,Περίπου 100 συγκεντρώσεις έχουν προγραμματιστεί για το Σάββατο στη γαλλική επικράτεια από πολίτες που ζητούν περισσότερα κοινωνικά δικαιώματα και λιγότερη επισφάλεια. ,2020-12-05 17:09:00,https://www.news247.gr/img/6457/9071668/616000/w140/140/gallia1.jpg,ελλάδα,GRC
0, Γαλλία: Διαδηλώσεις για τα κοινωνικά δικαιώματα και τις ελευθερίες ,Περίπου 100 συγκεντρώσεις έχουν προγραμματιστεί για το Σάββατο στη γαλλική επικράτεια από πολίτες που ζητούν περισσότερα κοινωνικά δικαιώματα και λιγότερη επισφάλεια. ,2020-12-05 17:09:00,https://www.news247.gr/img/6457/9071668/616000/w140/140/gallia1.jpg,ελλάδα,GRC
8, Η ΕΕ αποφάσισε επιτέλους να ενεργοποιήσει σύστημα επιβολής κυρώσεων ,Στο νέο σύστημα επιβολής ευρωπαϊκών κυρώσεων σε χώρες όπου καταγράφονται σοβαρές παραβιάσεις ανθρωπίνων δικαιωμάτων αναφέρεται η FAZ. Συνέντευξη του γερμανού υπουργού Εξωτερικών Χάικο Μάας στο Spiegel.,2020-12-05 16:52:00,https://www.news247.gr/img/7680/7702199/185000/w140/140/maas1.jpg,ελλάδα,GRC
9, Παλαιστίνη: Πλήθος κόσμου στην κηδεία 13χρονου που σκοτώθηκε από τον ισραηλινό στρατό ,"Εκατοντάδες άνθρωποι παρέστησαν στην κηδεία του 13χρονου Παλαιστινίου Αλί Αϊμάν Νασρ Αμπού Αλίγια, που σκοτώθηκε σε συγκρούσεις με τον ισραηλινό στρατό.",2020-12-05 16:03:00,https://www.news247.gr/img/8224/9071560/995000/w140/140/palestine.jpg,ελλάδα,GRC
15," Σεισμός 5,2 Ρίχτερ στην Τουρκία ",Ο σεισμός είχε επίκεντρο τον θαλάσσιο χώρο που βρίσκετα 57 χιλιότρα νότια της Αλάνια. Έγινε ιδιαίτερα αισθητός σε Ρόδο και Κύπρο.,2020-12-05 15:10:00,https://www.news247.gr/img/9523/9071527/550000/w140/140/turkey.jpg,τουρκία,TUR
17, Χιλή: Σοκαριστικά πλάνα - Ρίχνουν τοξικά υγρά σε διαδηλωτές ,"Άγρια επεισόδια και μαζική καταστολή στο Σαντιάγκο της Χιλής - Διαδηλωτές ξέσπασαν εναντίον του προέδρου της χώρας, Σεμπαστιάν Πινιέρα, ζητώντας την παραίτησή του.",2020-12-05 13:36:00,https://www.news247.gr/img/40/9071396/675000/w140/140/chile.jpg,χιλή,CHL
10, Ζήτησαν αποκλεισμό αστυνομικών από το μεγαλύτερο ΛΟΑΤΚΙ φεστιβάλ στον κόσμο ,Ένα από τα μεγαλύτερα ΛΟΑΤΚΙ+ φεστιβάλ στον κόσμο αποφάσισε να καταψηφίσει μία αμφιλεγόμενη πρόταση σύμφωνα με την οποία θα απαγορευόταν να συμμετέχει στην παρέλαση οποιοσδήποτε αστυνομικός.,2020-12-05 12:40:00,https://www.news247.gr/img/7153/9071365/490000/w140/140/lgbt.jpg,ελλάδα,GRC
16, Αρμενία: Χιλιάδες διαδηλωτές στους δρόμους του Γερεβάν κατά της κυβέρνησης ," Μερικές χιλιάδες διαδηλωτές συγκεντρώθηκαν στο κέντρο του Γερεβάν για να ζητήσουν την παραίτηση του πρωθυπουργού της Αρμενίας Νικόλ Πασινιάν, που βρίσκεται στο επίκεντρο επικρίσεων επειδή αποδέχθηκε την εκεχειρία, με την οποία αναγνωρίζεται η νίκη του Αζερμπαϊτζάν, έπειτα από 6 εβδομάδες πολέμου στο Ναγκόρνο Καραμπάχ. ",2020-05-12 16:44:00,,αρμενία,ARM
